id,external_id,title,department,location,state,city,job_type,salary_min,salary_max,posted_date,url,description,qualifications,scraped_at,unique_key,company_name,subdomain,portal_slug,sector,ats_type
2205969,159086,Care Manager IP,Care Management,US-GA-Atlanta,,,,,,2026-03-25T10:02:00,https://ehccareers-emory.icims.com/jobs/jobs/159086/job,,,2026-03-25T17:12:57.059421,a38cf20e54e2b0ae,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205916,163114,Same Day Surgery Registered Nurse,Nursing,US-GA-Johns Creek,,,,,,2026-03-25T10:01:00,https://ehccareers-emory.icims.com/jobs/jobs/163114/job,,,2026-03-25T17:12:57.056382,ba43d4ee87dcaee3,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205284,163115,Same Day Surgery Registered Nurse,Nursing,US-GA-Johns Creek,,,,,,2026-03-25T09:51:00,https://ehccareers-emory.icims.com/jobs/jobs/163115/job,,,2026-03-26T08:13:29.718965,2fef503f978e3dd1,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205954,161302,Cardiovascular Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:49:00,https://ehccareers-emory.icims.com/jobs/jobs/161302/job,,,2026-03-25T17:12:57.059077,b14ced4ad6981659,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205953,161303,Cardiovascular Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:49:00,https://ehccareers-emory.icims.com/jobs/jobs/161303/job,,,2026-03-25T17:12:57.059046,3f1d9f3b496c0552,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205955,161264,Corporate Advanced Practice Provider NP / PA,Advanced Practice Providers,US-GA-Smyrna,,,,,,2026-03-25T09:48:00,https://ehccareers-emory.icims.com/jobs/jobs/161264/job,,,2026-03-25T17:12:57.059094,e89b3f5e9b55e39a,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205987,155263,Cardiovascular Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:47:00,https://ehccareers-emory.icims.com/jobs/jobs/155263/job,,,2026-03-25T17:12:57.059768,2b046c6c3435bf63,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205959,160700,Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:44:00,https://ehccareers-emory.icims.com/jobs/jobs/160700/job,,,2026-03-25T17:12:57.059202,ca69102c185dbcda,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205989,154468,Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:43:00,https://ehccareers-emory.icims.com/jobs/jobs/154468/job,,,2026-03-25T17:12:57.059798,e52afd1c6dafc0e1,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205930,162563,Nursing Professional Development Practitioner,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:43:00,https://ehccareers-emory.icims.com/jobs/jobs/162563/job,,,2026-03-25T17:12:57.057115,2486828190cd0239,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205990,154466,Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:42:00,https://ehccareers-emory.icims.com/jobs/jobs/154466/job,,,2026-03-25T17:12:57.059814,8270ed81d32e3a8e,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205991,154464,Operating Room Registered Nurse,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:41:00,https://ehccareers-emory.icims.com/jobs/jobs/154464/job,,,2026-03-25T17:12:57.059828,00ebb6655c87f147,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205922,162939,Occupational Therapist,Therapy,US-GA-Atlanta,,,,,,2026-03-25T09:39:00,https://ehccareers-emory.icims.com/jobs/jobs/162939/job,,,2026-03-25T17:12:57.056631,9b8865e0ad469b44,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205933,162504,Surgical Tech Education Coordinator,Clinical & Nursing Support,US-GA-Atlanta,,,,,,2026-03-25T09:29:00,https://ehccareers-emory.icims.com/jobs/jobs/162504/job,,,2026-03-25T17:12:57.058197,f0bdf71abc159c98,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205920,163017,CVICU Registered Nurse / RN,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:04:00,https://ehccareers-emory.icims.com/jobs/jobs/163017/job,,,2026-03-25T17:12:57.056500,2863ec4478ed505e,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205984,156517,Radiation Oncology Registered Nurse / RN,Nursing,US-GA-Atlanta,,,,,,2026-03-25T09:03:00,https://ehccareers-emory.icims.com/jobs/jobs/156517/job,,,2026-03-25T17:12:57.059702,bf373924245e3f15,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2205928,162629,Chef,Food Services,US-GA-Atlanta,,,,,,2026-03-25T06:41:00,https://ehccareers-emory.icims.com/jobs/jobs/162629/job,,,2026-03-25T17:12:57.057068,029f66973169b5cb,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
2207572,31106618,＜診断薬・機器事業部＞ Field Service Engineer（全国オープンポジション）,,Japan - Osaka,,,Full time,,,2026-03-25T00:00:00,https://abbott.wd5.myworkdayjobs.com/abbottcareers/job/Japan---Osaka/XMLNAME----31105941-Field-Service-Engineer----_31106618,"JOB DESCRIPTION: 勤務地：全国 ※採用ポジションの有無やご希望を踏まえ、配属先はご相談のうえ決定いたします。 About Abbott Abbott is a global healthcare leader, creating breakthrough science to improve people’s health. We’re always looking towards the future, anticipating changes in medical science and technology. Working at Abbott At Abbott, you can do work that matters, grow, and learn, care for yourself and family, be your true self and live a full life. You will have access to: Career development with an international company where you can grow the career you dream of. A company recognized as a great place to work in dozens of countries around the world and named one of the most admired companies in the world by Fortune. A company that is recognized as one of the best big companies to work for as well as a best place to work for diversity, working mothers, female executives, and scientists. We’re empowering smarter medical and economic decision making to help transform the way people manage their health at all stages of life. Every day, more than 10 million tests are run on Abbott’s diagnostics instruments, providing lab results for millions of people. 【業務内容】 臨床医療における診断・検査に不可欠な診断機器のメンテナンス業務となります。 アボットは臨床検査の分野では、癌やHIV・C型肝炎ウイルスなどの感染症やホルモン・甲状腺関連の診断薬を開発、提供するなど、幅広い事業領域で高い評価を得ています。 世界基準に照応したアボット ジャパンは世界から日本に、そして日本から世界へ、最先端の技術・製品・情報交流の重要な役割を担っています。 <具体的業務内容> ・機器の修理 ・定期点検 ・機器の設置 ・機器の改良、変更作業 ・保守契約の交渉、締結 ・保守部品の管理 <訪問先> 国公立病院・民間主要病院の検査室、日本赤十字社、臨床検査センターなど。 ※1日の訪問件数は1～2件程度。 ※訪問先に直行または直帰の場合も有り。 【応募条件】 ・機器メンテナンスまたはフィールドサービスの分野における3年以上の実務経験および知識 ・第一種普通自動車免許 ・PCスキル（Excel、Word、PowerPoint） ・医療機器業界での経験者優遇 Follow your career aspirations to Abbott for diverse opportunities with a company that can help you build your future and live your best life. Abbott is an Equal Opportunity Employer, committed to employee diversity. Connect with us at www.abbott.com , on Facebook at www.facebook.com/Abbott and on Twitter @AbbottNews and @AbbottGlobal. The base pay for this position is N/A In specific locations, the pay range may vary from the range posted. JOB FAMILY: Field Services DIVISION: LOCATION: Japan > Osaka : 1-1-6 Bingo-machi ADDITIONAL LOCATIONS: WORK SHIFT: Standard TRAVEL: Not specified MEDICAL SURVEILLANCE: Not Applicable SIGNIFICANT WORK ACTIVITIES: Not Applicable",,2026-03-25T07:30:47.444911,68b7f627fcc3c6c5,ABBOTT,abbott,abbott,,workday
